superhero_name,publisher_name
The Cape,
Robocop,
Katniss Everdeen,
Jason Bourne,
Jack Bauer,
Godzilla,
Flash Gordon,
Darkside,
Chuck Norris,
Brundlefly,
Bananaman,
JJ Powell,ABC Studios
Jim Powell,ABC Studios
Daphne Powell,ABC Studios
Predator,Dark Horse Comics
Liz Sherman,Dark Horse Comics
Johann Krauss,Dark Horse Comics
Captain Midnight,Dark Horse Comics
Angel,Dark Horse Comics
Wildfire,DC Comics
Two-Face,DC Comics
The Presence,DC Comics
Space Ghost,DC Comics
Silk Spectre II,DC Comics
Silk Spectre,DC Comics
Shrinking Violet,DC Comics
Riddler,DC Comics
Plastic Lad,DC Comics
Phantom,DC Comics
Parademon,DC Comics
Offspring,DC Comics
Nite Owl II,DC Comics
Moloch,DC Comics
Mogo,DC Comics
Mister Mxyzptlk,DC Comics
Mister Freeze,DC Comics
Kid Flash II,DC Comics
Jesse Quick,DC Comics
Isis,DC Comics
Hawkwoman II,DC Comics
Gog,DC Comics
Garbage Man,DC Comics
Flash III,DC Comics
Faora,DC Comics
ERG-1,DC Comics
Colossal Boy,DC Comics
Chameleon,DC Comics
Bushido,DC Comics
Black Flash,DC Comics
Ben 10,DC Comics
Beast Boy,DC Comics
Batgirl V,DC Comics
Batgirl III,DC Comics
Bane,DC Comics
Aztar,DC Comics
Arsenal,DC Comics
Stormtrooper,George Lucas
Kylo Ren,George Lucas
Indiana Jones,George Lucas
Birdman,Hanna-Barbera
Titan,HarperCollins
Renata Soliz,HarperCollins
Quantum,HarperCollins
Energy,HarperCollins
Red Mist,Icon Comics
Hit-Girl,Icon Comics
Big Daddy,Icon Comics
Violator,Image Comics
Savage Dragon,Image Comics
Redeemer III,Image Comics
Redeemer II,Image Comics
Overtkill,Image Comics
Cy-Gor,Image Comics
Curse,Image Comics
Cogliostro,Image Comics
Bomb Queen,Image Comics
Billy Kincaid,Image Comics
Anti-Spawn,Image Comics
Angela,Image Comics
Sauron,J. R. R. Tolkien
Wondra,Marvel Comics
Weapon XI,Marvel Comics
Watcher,Marvel Comics
Venompool,Marvel Comics
Thunderbird II,Marvel Comics
Stardust,Marvel Comics
Stacy X,Marvel Comics
Spider-Woman II,Marvel Comics
Spider-Carnage,Marvel Comics
Speedball,Marvel Comics
Snake-Eyes,Marvel Comics
Sebastian Shaw,Marvel Comics
Purple Man,Marvel Comics
Power Man,Marvel Comics
Penance I,Marvel Comics
Penance,Marvel Comics
One-Above-All,Marvel Comics
Meteorite,Marvel Comics
Luna,Marvel Comics
Leech,Marvel Comics
Junkpile,Marvel Comics
Hulk,Marvel Comics
Green Goblin III,Marvel Comics
Goliath,Marvel Comics
Giant-Man II,Marvel Comics
Giant-Man,Marvel Comics
Ghost Rider II,Marvel Comics
Ego,Marvel Comics
Destroyer,Marvel Comics
Chameleon,Marvel Comics
Cerebra,Marvel Comics
Cat II,Marvel Comics
Captain Universe,Marvel Comics
Bumbleboy,Marvel Comics
Box,Marvel Comics
Boomer,Marvel Comics
Bolt,Marvel Comics
Bling!,Marvel Comics
Black Goliath,Marvel Comics
Bird-Man II,Marvel Comics
Bird-Man,Marvel Comics
Bird-Brain,Marvel Comics
Beyonder,Marvel Comics
Beta Ray Bill,Marvel Comics
Beetle,Marvel Comics
Beast,Marvel Comics
Agent Zero,Marvel Comics
Tracy Strauss,NBC - Heroes
Sylar,NBC - Heroes
Peter Petrelli,NBC - Heroes
Monica Dawson,NBC - Heroes
Mohinder Suresh,NBC - Heroes
Maya Herrera,NBC - Heroes
Matt Parkman,NBC - Heroes
Luke Campbell,NBC - Heroes
Jessica Sanders,NBC - Heroes
Hiro Nakamura,NBC - Heroes
DL Hawkins,NBC - Heroes
Ando Masahashi,NBC - Heroes
Alex Woolsly,NBC - Heroes
Judge Dredd,Rebellion
One Punch Man,Shueisha
Goku,Shueisha
Paul Blart,Sony Pictures
Q,Star Trek
Kathryn Janeway,Star Trek
Jean-Luc Picard,Star Trek
Rachel Pirzad,SyFy
Nina Theroux,SyFy
Gary Bell,SyFy
Cameron Hicks,SyFy
Bill Harken,SyFy
Darkman,Universal Studios
Minna Murray,Wildstorm
Kratos,Wildstorm
Allan Quatermain,Wildstorm
Alex Mercer,Wildstorm
